sku,nombre,descripcion,categoria,marca,precio_compra,precio_venta,stock,stock_minimo,codigo_barras,unidad_medida,activo
SRV-792869-639,cambio de pantalla Iphone 12 pro max,Servicio especializado de reemplazo de pantalla iPhone 12 Pro Max,Servicios de Reparación,Apple,420000,650000,9999,0,,unidad,No
107085008705,"Cable AmpSentrix Matrix Lightning a USB-C (sin certificación MFi) (1 m, 3 pies) (negro)",Cable de carga y datos Lightning a USB-C longitud 1 metro color negro,Cargadores y Cables,AmpSentrix,35000,70000,1,2,107085008705,unidad,No
SRV-918340-340,flex de arga ip 14 pro mechanic,Cambio de flex de puerto de carga Mechanic para iPhone 14 Pro,Servicios de Reparación,Mechanic,100000,190000,9999,0,,unidad,No
107082002430,Bottom Screws For iPhone X To 12 / 12 Mini / 13 / 13 Mini / 14 Series (100 Pack) (Starlight / Yellow / Red),Pack de 100 tornillos inferiores pentalobe surtidos para iPhone X a 14,repuestos,AmpSentrix,30000,70000,0,0,107082002430,paquete,No
PROD-MSF95O19-IZB1,pantalla iphone 12 pro max,Módulo de pantalla completo de reposición para iPhone 12 Pro Max,repuestos,Vezr,280000,450000,1,3,PRODMSF95O19,unidad,No
107085008715,"AmpSentrix Infinity Micro USB to USB-A Cable (1m, 3ft) (Black)",Cable de carga reforzado Micro USB a USB-A de 1 metro color negro,Cargadores y Cables,AmpSentrix,15000,35000,19,2,107085008715,unidad,No
SRV-793676-885,Pantalla Iphone 12 /12 pro,Instalación y cambio de pantalla para iPhone 12 y 12 Pro,Servicios de Reparación,Apple,350000,550000,9999,0,,unidad,No
107282236198,Microsoft USB-C Wall Power Adapter 100-240V (AC-100U) (US Version) (Used OEM Pull: Grade A),Adaptador de pared USB-C original Microsoft OEM Grade A,Cargadores y Cables,AmpSentrix,45000,80000,6,5,107282236198,unidad,No
SRV-728622-466,cambio de pantalla iphone 14 pro,Mano de obra especializada y display para iPhone 14 Pro,Servicios de Reparación,Apple,500000,800000,9999,0,,unidad,No
SRV-614230-975,"samsung frp a12,13, a14 etc","Desbloqueo de cuenta Google FRP para Samsung series A12, A13, A14",Servicios de Reparación,Samsung,30000,70000,9999,0,,servicio,No
SRV-028383-384,pantalla iphone 11,Servicio de cambio de display Retina para iPhone 11,Servicios de Reparación,Apple,200000,350000,9999,0,,unidad,No
DEMO-REMERA-SPORT,Remera deportiva Dry-Fit Pro (Demo),Prenda deportiva transpirable secado rápido corte atleta,Ropa deportiva (Demo),Demo Sport,60000,125000,30,2,DEMOSPORT01,unidad,No
DEMO-REMERA-CLASICA,Remera clásica Essential (Demo),Remera de algodón 100% peinado corte clásico unisex,Ropa deportiva (Demo),Demo Wear,40000,85000,24,2,DEMOCLASIC01,unidad,No
107082004816,LCD Assembly With Steel Plate Pre-Installed For iPhone 11 (Aftermarket Pro: XO7 / Incell),Pantalla LCD Incell con placa de acero preinstalada para iPhone 11,repuestos,Apple,160000,270000,5,1,107082004816,unidad,No
107082130503,OLED Assembly For iPhone 15 (Aftermarket Pro: XO7 Soft),Módulo de pantalla OLED Soft calidad Pro XO7 para iPhone 15,Pantallas LCD/OLED,XO7 Soft,420000,650000,5,0,107082130503,unidad,No
107083546599,AmpSentrix Pro 30W 2-in-1 USB-C / USB-A GaN Wall Adapter (Pink),Cargador de pared GaN 30W dual USB-C y USB-A color Pink,Cargadores y Cables,AmpSentrix,80000,140000,0,5,107083546599,unidad,No
PROD-MQA9NIMK-EG5R,AmpSentrix 20W Dual-Port (USB-C + USB-A),Cargador rápido dual port 20W USB-C PD + USB-A QuickCharge,Cargadores y Cables,AmpSentrix,65000,120000,9,5,PRODMQA9NIMK,unidad,No
PROD-MQAB9K,iPhone 14,Smartphone Apple iPhone 14 128GB liberado,Celulares,Apple,1600000,2250000,0,0,194253408253,unidad,No
QK-13071747,crsital,Vidrio templado cristal protector para pantalla de celular,Protectores de Pantalla,Generic,5000,15000,0,0,QK13071747,unidad,No
